method,metric,K=S,mean,std
Uniform-Alg1,delta1,1000,8.271440,1.384345
Uniform-Alg1,delta1,5000,4.052910,1.070613
Uniform-Alg1,delta1,20000,3.220515,2.070626
Uniform-Alg1,delta2,1000,0.705549,0.131040
Uniform-Alg1,delta2,5000,0.399446,0.019843
Uniform-Alg1,delta2,20000,0.327375,0.143192
Uniform-Alg1,kl,1000,-8.609568,0.046110
Uniform-Alg1,kl,5000,-10.214077,0.060749
Uniform-Alg1,kl,20000,-11.580036,0.047362
Uniform-Alg1,npll,1000,8.046064,0.294643
Uniform-Alg1,npll,5000,7.896329,0.212953
Uniform-Alg1,npll,20000,7.296430,0.515512
MF-Alg1,delta1,1000,16.456586,0.563345
MF-Alg1,delta1,5000,17.269779,2.630097
MF-Alg1,delta1,20000,15.744903,1.292589
MF-Alg1,delta2,1000,0.885216,0.188800
MF-Alg1,delta2,5000,0.395967,0.056648
MF-Alg1,delta2,20000,0.485490,0.171880
MF-Alg1,kl,1000,-9.113084,0.307487
MF-Alg1,kl,5000,-10.254461,0.047464
MF-Alg1,kl,20000,-10.288979,0.641095
MF-Alg1,npll,1000,7.331457,0.183060
MF-Alg1,npll,5000,7.457784,0.318435
MF-Alg1,npll,20000,7.821204,0.639219
BP-Alg1,delta1,1000,6.948978,1.084595
BP-Alg1,delta1,5000,7.160770,4.523609
BP-Alg1,delta1,20000,2.836795,1.765550
BP-Alg1,delta2,1000,0.545415,0.098216
BP-Alg1,delta2,5000,0.563514,0.442432
BP-Alg1,delta2,20000,0.226496,0.028954
BP-Alg1,kl,1000,-8.841525,0.113962
BP-Alg1,kl,5000,-10.345998,0.189298
BP-Alg1,kl,20000,-11.581145,0.024240
BP-Alg1,npll,1000,8.223815,0.256415
BP-Alg1,npll,5000,7.354320,0.479269
BP-Alg1,npll,20000,7.303950,0.093095
LBP-Alg1,delta1,1000,1.803001,0.644978
LBP-Alg1,delta1,5000,0.525128,0.107204
LBP-Alg1,delta1,20000,0.341305,0.091131
LBP-Alg1,delta2,1000,0.169080,0.012674
LBP-Alg1,delta2,5000,0.087365,0.020311
LBP-Alg1,delta2,20000,0.039764,0.000640
LBP-Alg1,kl,1000,-10.488701,0.019743
LBP-Alg1,kl,5000,-11.730783,0.023907
LBP-Alg1,kl,20000,-12.428507,0.008218
LBP-Alg1,npll,1000,7.436953,0.060144
LBP-Alg1,npll,5000,7.233692,0.066895
LBP-Alg1,npll,20000,7.332878,0.030718
Exact-DF,delta1,1000,0.382113,0.199523
Exact-DF,delta1,5000,0.382113,0.199523
Exact-DF,delta1,20000,0.382113,0.199523
Exact-DF,delta2,1000,0.056982,0.004517
Exact-DF,delta2,5000,0.056982,0.004517
Exact-DF,delta2,20000,0.056982,0.004517
Exact-DF,kl,1000,-12.036298,0.014651
Exact-DF,kl,5000,-12.036298,0.014651
Exact-DF,kl,20000,-12.036298,0.014651
Exact-DF,npll,1000,7.365952,0.044870
Exact-DF,npll,5000,7.365952,0.044870
Exact-DF,npll,20000,7.365952,0.044870
MCMC,delta1,1000,0.580655,0.026726
MCMC,delta1,5000,0.580655,0.026726
MCMC,delta1,20000,0.580655,0.026726
MCMC,delta2,1000,0.052658,0.003983
MCMC,delta2,5000,0.052658,0.003983
MCMC,delta2,20000,0.052658,0.003983
MCMC,kl,1000,-12.037740,0.003068
MCMC,kl,5000,-12.037740,0.003068
MCMC,kl,20000,-12.037740,0.003068
MCMC,npll,1000,7.360195,0.029026
MCMC,npll,5000,7.360195,0.029026
MCMC,npll,20000,7.360195,0.029026
